,Stem length (cm),Root length (cm),Thousand  Seed weight (g),Geramination (%),Poods per plant (number),Stem bark thickness (mm),Root bark thickness (mm),Protein content  %,Seed oil content (%),Seed yield (g ),Chlorophyll (mg/g ),Seed shrinkage (%),Amount of greenness (%),Stem fresh weight (g), Stem dry  weight (g),Root fresh weight (mg),Root dry weight (mg),Empty Seeds per pods (٪),Empty pods per plant  (%),Seedling fresh weight (g),Seedling dry weight (g)
Infection plant,34.24,18,121.23,37.46,35.72,24.64,6.8,23.88,10.47,158.34,8.49,18.62,26.05,19.39,3.72,20.54,10.32,62.69,34.58,12.51,1.68
Infection plant,38.58,21.18,82.56,37.92,46.8,18.48,7.37,24.57,17.32,197.2,15.49,25.92,32.47,11.37,1.81,12.51,2.06,70.39,41.66,11,2.16
Infection plant,34.99,17.1,87.14,37.03,29.45,22.04,7.06,19.6,17.58,154.28,14.96,25.95,10.94,13.95,2.93,11.31,7.82,17.7,94.98,5.67,7.46
Infection plant,34.16,17.85,97.24,42.31,31.18,23.71,6.82,23.2,11.9,142.92,8.82,26.41,23.28,17.17,8.08,17.23,7.72,84.66,70.81,12.14,8.77
Infection plant,33.97,14.87,114,13.97,47.14,17.01,10.05,19.73,16.33,201.27,13.42,22.7,22.38,17.88,7.32,15.22,7.43,88,29,6.36,2.59
Infection plant,37.85,12.13,85.73,33,40.94,21.98,10.14,29.95,11.79,151.28,9.89,25.5,29.35,10.46,3.33,14.98,9.54,98.2,23.65,12.56,2.18
Infection plant,30.51,13.79,85.15,49.99,39.89,24.4,5.62,25.74,16.34,130.81,15.18,20.04,13.87,10.97,1.88,19.99,9.64,96,47.29,8.71,7.2
Infection plant,33.59,15.83,89.25,38.15,45.19,16.92,10.89,20.32,8.71,191.03,8.28,20.29,29.76,15.98,1.17,11.27,7.79,21.39,55.83,12.27,8.86
Infection plant,33.06,19.66,117,34.89,45.07,23.65,3.86,19.81,17.88,162.25,16.87,23.54,37.83,16.23,8.45,16.87,7.71,55.3,29.39,11.82,4.54
Infection plant,31.18,14.04,126.22,20.73,48.68,17.42,9.73,23.23,13.59,130.5,12.92,26.56,45.84,17,8.54,13.64,3.69,22.89,89.79,5.25,5.34
Infection plant,39.11,21.28,138.75,17.89,33.1,20.09,4.99,19.37,15.78,153.91,18.42,21.06,17.66,19.43,4.05,14.8,7.86,60.21,55.9,12.49,8.18
Infection plant,38.37,13.05,92.67,15.31,30.18,22.57,12.64,19.38,10.71,163.99,13.62,17.26,39.1,16.65,8.6,14.7,1.79,67.9,30.77,5.94,2.01
Infection plant,33.23,12.74,119.09,41.59,21.28,25.71,10.6,21.6,9.96,111.03,11.47,20.92,18.36,11.55,4.73,12.8,7.16,49.84,20,9.55,1.17
Infection plant,33.21,12.55,107.4,37.81,22.27,25.15,3.19,19.67,12.01,155.67,9.12,25.18,36.59,15.26,9.24,17.56,4.04,45.52,31.07,7.58,8.16
Infection plant,38.43,18.94,126.72,14.29,29.23,21.52,12.85,24.28,17.76,190.26,19.83,18.98,45.71,12.25,4.39,11.11,8.75,38.21,54.37,9.06,3.94
Infection plant,35.13,15.22,87.6,44.5,45.59,19.35,5.15,14.05,8.53,176.58,8.16,26.99,40.53,12.12,1.48,14.9,5.16,86.27,49,9.92,9.82
Infection plant,38.23,13.08,85.86,24.56,43.15,18,9.97,14.67,12.56,178.47,17.63,24.23,33.78,11.76,1.51,18.58,3.67,60.25,97.04,9.68,8.37
Infection plant,37.35,13.06,117.61,25.42,27.68,25.81,8.4,21.56,8.07,140.1,14.2,18.68,32.78,10.57,4.79,17.05,4.09,60.53,76.7,4.12,1.83
Infection plant,38.66,16.17,88.74,40.37,48.06,18.88,6.86,15.39,10.93,154.35,11.06,25.13,31.13,10.79,2.2,20.64,7.69,12.19,54.07,5.86,2.94
Infection plant,39.99,18.13,126.83,41.86,21.2,23.52,9.63,19.93,14.19,189.63,17.64,20.12,33.57,10.38,6.12,20.65,9.29,55.88,30.36,9.17,6.29
Infection plant,38.16,21.27,125.01,40.28,40.21,18.31,3.04,14.23,9.84,180.24,16.56,22.01,33.26,18.72,5.68,11.57,9.16,44.39,54.87,4.41,8.14
Infection plant,36.56,20.96,132.94,14.1,46.88,21.42,6.33,22.39,10.84,149.43,15,26.31,17.59,12.47,10.75,19.97,5.69,97.83,40.25,12.2,3.7
Infection plant,37.83,15.65,97.67,45,37.7,19.87,8.84,20.03,17.89,115.61,13.41,18.78,46.58,11.34,1.4,11.56,2.6,19.17,73.81,13.47,8.57
Infection plant,34.42,17.42,95.87,33.13,49.73,24.02,3.28,14.66,14.33,167.92,15.54,22.08,36.83,12.16,1.45,16.73,4.63,92,41.78,13.1,7.41
Infection plant,38.86,12.76,84.92,23.79,22.74,18.27,12.04,22.47,9.17,160.98,18.24,23.08,21.54,15.96,10.46,11.22,4.45,61.32,52.23,6.68,5.18
Infection plant,39.03,18.25,93.16,11.02,26.41,17.19,12.73,18.53,15.11,163.31,10.5,19.78,42.03,13.12,5.71,19.67,1.26,55.56,86.53,13.3,6.57
Infection plant,31.71,19.87,90.4,21.72,30.44,24.81,10.82,17.6,13.69,180.74,14.82,21.39,42.57,11.48,1.28,19.76,10.39,55.98,62.03,4.08,8.2
Infection plant,33.94,15.73,81.24,13.77,34.19,17.39,8.1,25.83,9.63,150.43,14.27,23.24,42.31,10.75,2.78,15.21,10.64,58.99,98.83,11.38,5.22
Infection plant,31.34,16.28,105.66,21.83,49.82,17.99,6.41,17.46,13.85,140.97,9.08,20.1,46.52,18.35,3.34,17.67,8.6,33.78,54.03,7.21,8.36
Infection plant,31.78,15.6,89.4,23,21.07,25.91,7.32,23.51,17.82,175.06,11.9,23.45,12.05,17.92,8.49,17.38,9.39,76.65,94.82,12.79,5.92
Infection plant,33.58,15.5,130.09,11.12,39.42,20.01,7.18,26.56,10.08,181,9.15,22.51,19.04,15.08,4.76,20.16,4.16,60.79,96.23,12.08,8.04
Infection plant,37.75,21.81,103.56,17.52,23.86,25.79,11.02,26.98,14.55,144.63,17.65,17.09,45.16,16.24,7.6,12.63,1.31,71.99,24.08,7.7,1.78
Infection plant,31.99,18.04,128.39,20.32,42.25,23.09,7.46,25.42,13.62,180.99,13.46,22.09,14.29,15.81,8.55,20.37,2.33,82.79,78.2,5.75,6.35
Infection plant,36.91,18.75,111.72,47.68,21.92,20.13,3.92,28.6,9.43,194.39,13.77,18.34,18.27,17.86,10.6,16.05,5,94.76,48.29,4.92,1.93
Infection plant,38.3,21.35,131.08,26.38,30.75,22.77,7.8,15.17,14.49,124,9.99,22.52,45.27,16,3.83,13.8,7.03,81,49.73,7,1.96
Infection plant,38.5,19.32,80.88,15.24,38.01,24.99,3.71,23.8,15.2,185.81,8.42,20.18,44.57,11.24,3.17,13.07,10.89,55.68,20.84,4.97,6.31
Infection plant,33.99,17.97,136.77,19.46,20.84,19.08,9.76,27.53,13.01,122.68,18.09,24.92,37.45,15.33,9.85,19.27,4.43,99.75,79.29,7.66,7.98
Infection plant,37.16,17.5,93.2,19.45,49.4,20.63,5.58,21.92,10.73,164.99,10.6,22.4,11.09,14.76,10.8,14.81,5.06,41,49.27,6.45,3.67
Infection plant,32.67,21.21,112.43,14.59,22.99,17.74,7.11,15.33,12.39,151.54,14.17,18.73,32.11,10.41,10.92,15.19,9.34,55.55,25,6.01,7.06
Infection plant,34.19,21.09,85,10.28,32.05,18.05,11.77,15.14,10.17,172.96,18.67,17.93,26.54,16.78,4.48,16.56,6.4,54.83,54.77,4.69,8.67
Infection plant,30.96,20.44,121.41,31.9,42.08,19.59,11.56,20.52,12.85,166.61,19.6,24.95,15.66,17.69,10.74,16.26,10.74,30.28,75.95,13.07,2.97
Infection plant,32.96,12.27,111.14,35.81,23.73,16.19,12.29,22.25,9.68,147.97,13.92,26.63,22.66,15.31,6.39,15.39,6.93,55.81,89.43,6.78,5.91
Infection plant,32.44,13.75,121.02,49.33,39.29,21.75,7.25,29.12,11.99,120.08,9.7,21.22,19.69,17.16,7.16,15.69,10.13,99.9,62.25,11.93,2.65
Infection plant,31.05,13.29,127.75,45.62,27.84,19.63,5.8,20.91,15.45,132.89,17.18,20.36,40.83,16.95,7.12,19.41,8.41,41.69,54.85,7.78,3.31
Infection plant,31.98,18.32,99.77,35.6,38.88,21.44,8.01,18.67,8.81,209.87,8.69,19.19,38.29,11.44,7.24,11.83,6.79,33,56.22,11.31,2.77
Infection plant,31.79,20.58,105.28,49.48,37.2,16.14,10.78,14.69,13.63,149.28,12.77,22.98,48.14,18.83,9.21,18.54,9.2,43.99,80.93,9.7,9.89
Infection plant,35.76,20.54,126.04,21.71,46.66,24.86,12.5,29.81,17.6,173.53,10.06,22.25,15.07,13.62,10.21,14,8.25,47.54,35.59,6.28,3.09
Infection plant,30.38,21.37,122.47,31.05,37.75,25.08,10.62,19.88,14.67,126,14.78,25.25,15.42,18.08,1.73,18.59,3.1,63.73,43.82,7.02,6.4
Infection plant,31.01,19.49,131.72,38.16,47.02,23.99,5.4,28.61,16.86,154.78,15.22,20.84,37.1,13.81,3.15,15.07,8.53,60.28,67.53,7.63,5.37
Infection plant,30.64,20.29,105.32,28.53,46.35,20.81,3.3,22.11,17.21,192.34,8.67,23.09,41.32,14.58,8.57,12.65,9.35,50.72,55.3,13.83,1.63
Infection plant,32.11,17.82,120.83,46.73,49.09,20.17,12.02,23.74,13.32,132.38,13.01,25.83,15.63,10.86,7.05,15.9,1.87,92.63,54.46,8.85,7.42
Infection plant,36.03,18.27,127.19,32.52,36.15,18.86,4.93,23.36,9.25,209.97,10.13,26.37,28.5,14.56,10.43,15.001,8.62,60.07,55.86,12.42,7.62
Infection plant,32.42,17.01,89.68,20.17,37.52,25.62,12.28,29.65,16.45,193.19,8.31,20.93,21.71,19.49,7.04,20.94,1.71,55.12,70.84,11.61,10.99
Infection plant,36.65,19.17,120.5,39.04,20.87,17,5.37,16.46,14.27,148.63,9.28,22.53,27.17,16.55,8.72,15.1,3.26,42.25,54.34,5.84,8.01
Infection plant,31.96,20.51,128.25,42.43,25.56,24.69,10.11,18.27,14.8,183.87,11.58,26.92,29.25,15.29,4.96,12.96,9.46,14.21,24,11.15,1.37
Infection plant,31.91,18.76,89.23,25.84,36.5,16.89,6.87,17.23,11.55,160.48,15.28,26.28,22.95,12.69,9.69,11.65,3.6,51.44,84,5.92,6.83
Infection plant,30.67,12.25,133.63,31.21,24.87,21.81,12.23,24.54,12.15,119.17,18.39,22.23,18.49,10.72,6.21,17.79,6.98,55.97,56.23,8.83,10.39
Infection plant,34.51,14.6,88,13.06,30.96,16.16,11.51,21.43,13.68,135.04,9.48,22.02,48.02,18.56,1.43,17.03,5.66,83.66,27.34,10.3,2.03
Infection plant,30.99,14.71,139.13,27.4,30.82,16.81,5.42,29.51,16.24,201.46,8.55,26.29,18.08,12.51,2.66,19.22,6.87,12.65,55.52,11.78,3.13
Infection plant,36.13,21.72,114.58,30.51,49.29,24.56,4.34,25.68,9.36,132.88,12.89,20.78,15.86,12.94,2.62,14.67,1.81,93.19,43.43,13.04,6.7
Infection plant,36.2,12.53,101.46,23.06,42.5,24.83,7.88,29.82,8.33,172.5,16.06,22.68,29,13.29,3.44,11.03,1.88,52.4,67.51,7.01,7.5
Infection plant,31.31,12.28,138.5,13,42.45,18.23,8.31,27.54,15.49,157.71,16.58,23.03,46.25,11.87,3,20.9,5.35,19.06,54.27,11.49,4.72
Infection plant,36.63,15.63,90.01,30.07,44.48,16.39,5.32,29.71,14.4,176.39,19.14,19.88,21.86,13.06,4.89,18.68,10.9,48.47,35.67,4.29,5.03
Infection plant,36.25,19.55,92.14,47.25,26.9,16.44,6.72,15.26,8.64,180.51,9.71,22.63,15.32,16.74,8.67,20,5.19,38.9,31.32,4.27,3.86
Infection plant,38.1,15.15,128.35,39.09,46.5,25.52,10.04,15.65,16.84,208.51,19.95,24.34,12.82,14.79,9.92,12.67,1.3,70.44,83.45,6.22,8.52
Infection plant,33.32,14.2,133.99,25.1,41.79,16.71,11.87,28.88,14.44,193.29,16.37,21.03,45.22,18.42,2.94,17.45,6.99,32.51,23,12.33,3.75
Infection plant,34.53,16.81,91.72,45.34,39.71,22,12.07,16.91,16.79,170.32,11.59,23.27,10.37,15.38,6.9,15.26,9.69,22.46,55.11,6.34,6.54
Infection plant,35.31,12.05,93.5,44.15,34.97,23.44,4.33,16.12,10.41,204.09,10,22.44,19.46,15.18,4.21,12.08,1.24,84.24,54.55,12.63,8.97
Infection plant,32.01,18.33,87.99,49.17,36.98,25.41,7.21,14.56,11.29,151.53,9.94,25.01,37.25,17.56,7.55,16.16,2.31,23.94,87.9,7.81,5.66
Infection plant,39.14,17.2,84.02,22.39,22,25.28,5.55,15.8,16.22,120.31,8.1,24.83,37.01,10.03,7.97,18.35,8.38,67.83,50.34,6.46,4.13
Infection plant,37.15,19.31,115.09,38.49,48.34,23.51,9.32,27.86,12.82,189.81,12.22,23.77,41.31,18.49,3.01,19,6.89,55.36,48.05,12.28,6.51
Infection plant,38.68,19.59,103.79,18.13,31.12,25.93,11.46,15.56,12.3,130.68,14.72,17.1,25.21,10.67,6.1,17.72,3.18,47.15,61,7.41,5.02
Infection plant,33.92,21.1,122.05,14.94,41.81,19.42,7.26,29.03,16.36,173.08,14.89,25.45,49,11.19,1.49,12.25,10.92,17.37,67.34,9.46,3.3
Infection plant,38.77,13.83,84.94,40.79,42.66,25.55,9.2,18.57,14.2,156.49,9.17,24.73,19.05,15.41,4.29,18.1,6.35,15.15,40.51,11.51,10.42
Infection plant,49,17.48,82.11,89.78,58.68,98.31,19.34,57.35,27.41,139.79,47.13,20.16,85.43,26.88,8.31,13.24,6.96,57,54.19,5.61,20.46
Infection plant,63.45,21.72,232.51,28.12,32.51,20.58,18.27,45.2,21.33,267.76,39.6,7.99,49.82,26.2,1.06,14.19,6.08,32.09,24.59,8.92,8.61
Infection plant,37.36,25.98,203.62,51.03,55.15,19.31,4.31,20.09,25.08,204.62,20.98,11.33,49.52,12.02,10.45,30.31,12.16,16.07,15.47,10.18,12.59
Infection plant,81.45,36.77,178.24,89.66,51.67,89.78,18.07,28.27,17.68,314.03,48.34,11.1,33.12,19.05,2.27,30.89,13.12,5.92,20.73,16.21,4.32
Infection plant,62.39,34.12,176,28.24,37.11,20.46,8.38,29.19,13.7,248.4,19.26,21.99,95.26,16.15,12.02,28.89,14.46,4.6,12.95,12.57,10.33
Infection plant,31.98,40.11,238.57,75.67,26.34,22.72,12.49,28.38,10.44,121.95,48.85,22.78,33.92,13.61,19.05,20.3,12.25,8.43,71.04,10.45,1.57
Infection plant,32.85,34.23,195.66,42.35,32.14,21.34,14.39,48.39,22.91,176.24,29.79,18.95,27.18,26.65,16.15,23.17,4.55,4.9,11.48,6.56,1.86
Infection plant,37.71,29.39,232.79,35.37,37.01,51.03,10.76,29.84,13.99,308.36,8.41,15.7,19.08,16.44,9.9,18.18,5.4,10.13,28.67,13.92,19.66
Infection plant,30.33,38.7,98.38,81.16,94.98,19.34,12.42,25.28,15.87,197.52,25.52,19.21,57.05,14.01,1.19,22.76,14.51,8.7,11.62,17.69,4.93
Infection plant,34.14,19.85,129.46,66.83,68.61,89.66,13.29,14.89,18.42,387.63,8.95,13.12,90,15.28,13.61,17.84,7.02,58.92,36.36,8.13,3.77
Infection plant,35.65,30.04,161,44.7,29.34,18.19,14.32,56,27.37,165.55,14.45,12.57,18.84,27.03,7.64,24.46,7.22,7.12,16.6,19.64,15.75
Infection plant,105.74,19.13,98.37,19.24,83,94.87,3.1,16.06,9.16,308.37,48.84,23.47,85.25,19.89,10.87,27.1,9.07,2.03,18,15.73,20.47
Infection plant,94.72,22.68,223.31,71.26,43.22,75.67,20.17,35.89,20.14,266.38,23.4,20.33,82.82,21.37,16.44,15.53,19.08,3.25,56.35,12.9,3.47
Infection plant,49.16,31.51,184.85,33.86,47.13,20.71,14.18,55.17,8.62,129.32,13.84,11.04,16.75,23.29,14.01,27.43,10.81,56.05,15.01,4.58,9.34
Infection plant,48.29,17.88,90.44,37.22,35.68,25.09,19.1,21.27,17.95,111.62,27.56,12.25,75.36,22.26,5.52,22.11,5.56,38.45,9.49,22.47,12.52
Infection plant,97.16,12.26,142.08,51.59,46.37,19.21,20.04,53.65,15.56,186.43,33.64,10.64,87.78,21.94,15.28,27.29,16.71,57.47,10.59,23.53,4.89
Infection plant,73.12,13.2,96.94,61.07,44.5,21.86,4.86,57.31,8.23,143,37.23,24.07,15.24,25.22,19.89,23.99,2.09,22.05,14.63,8.68,10.76
Infection plant,32.78,32.84,88.33,33.85,51.88,65.23,20.03,38.02,12.67,252.4,41.78,13.25,95.78,18.1,16.56,11.62,12.01,7.54,12.22,17.45,2.37
Infection plant,82.78,22.14,131.38,37.21,89.59,16.53,7.38,19,14.56,239,39.35,13.95,72.32,14.13,12.09,14.18,17.35,7.83,30.63,20.59,15.55
Infection plant,94.02,38.81,82.72,26.09,44.4,17.31,19.87,34,20.61,116.04,42.1,19.56,15,11.97,15.65,27.39,1.41,4.36,11.88,7.55,12.92
Infection plant,39.28,39.38,86.31,97.4,47.12,17.25,22.5,56.68,24.73,214,17.01,22.26,14.44,10.63,3.3,23.56,7.24,35.2,14.25,10.64,19.03
Infection plant,100.51,36.6,121.23,60.29,43.98,20.9,6.19,16.08,16.75,301.95,16.15,17.2,37.52,19.11,8.41,27.36,8.63,10.66,9.45,11.41,11.77
Infection plant,40.21,23.64,107.4,54.54,55.76,95.55,4.11,36.45,8.4,118.33,12.8,11.67,15.45,21.51,10.64,29.65,6.03,55.05,94.62,14.02,1.24
Infection plant,33.5,38.58,97,79.09,47.66,95.04,21.44,58.17,16.31,183.38,36.39,20.51,55,13.46,2.4,29.72,20.75,55.67,18.93,13.43,14.51
Infection plant,65.9,14.94,211.62,54.27,47.73,50.76,18.5,23.81,23.16,311.45,18.1,8.9,33.16,18.73,3.78,30.33,13.62,64,54.63,14.85,17.96
Infection plant,37.48,39.08,231.49,99.04,54.35,79.09,12.3,42.01,26.01,295,20.53,14.67,43.9,27.75,5.91,25.48,15.86,3.58,13.71,8.88,7.81
Infection plant,36.63,21.32,111.4,95.04,66.65,54.27,15.76,38.55,25.55,250.65,38,7.6,82.15,25.69,18.81,22.98,6.95,98.45,62.17,23.2,19.84
Infection plant,93.94,17.01,179,50.76,80.63,99.04,4.66,16.74,24.17,401.06,14.94,15.95,98.48,29.24,17.94,18.33,12.2,2.39,17.59,8.02,14.98
Infection plant,39.37,30,128.1,58.82,21.78,18.18,19.56,23.41,14.62,227.12,24.59,21.18,27.74,19.46,10.66,27.81,17.7,1.73,44.8,18.69,1.56
Infection plant,35.11,31.64,160.45,99,22.35,18.25,4.4,43.22,15.53,244.13,32.1,21.54,20.97,10.78,2.65,27.52,19.02,28.56,14.41,19.33,17.22
Infection plant,87.07,33.79,132.49,92.04,60.48,58.82,7.62,50.3,16.58,139.61,15.8,23.61,28.33,22.82,10.5,25.13,13.26,85.12,84.87,19.18,9.97
Infection plant,101.36,35.09,193.73,65.92,90.12,18.14,21.37,22.07,21.42,113.82,36.65,21.24,13.54,29.19,2.73,15.91,12.62,57.11,16.21,14.11,17.42
Infection plant,91.61,25.21,106,32.12,46.17,25.04,5.57,57.77,8.83,182.34,40.38,21.77,75.07,15.66,6.94,28.36,20.29,3.41,16.4,18.46,16.05
Infection plant,78,21.45,116.82,28.3,54.92,99,15.93,27.47,18.25,172.17,22.99,22.73,47.88,26.05,19.46,14.75,2.79,8.92,74.73,17.14,5.3
Infection plant,34.41,20.32,183.82,24.91,25.92,22.44,9.1,39.56,10.05,173.59,23.25,17.6,65.89,26.9,10.78,27.75,13.05,55.7,87.17,14.79,10.56
Infection plant,38.36,33,87.14,93.04,48.22,20.47,3.31,53.41,13,374.91,47.97,25.44,89.32,10.09,6.13,24.43,3.63,73.33,13.93,15.22,6.14
Infection plant,77,22.94,202.56,94.31,60.31,92.04,3.74,42.66,17.72,391,12.24,19.13,33.84,20.11,18.58,30.61,6.53,3.13,91.6,13.29,9.56
Infection plant,39.83,23.13,134.51,98.24,67.38,16.85,13.82,52.02,22.51,296.24,9.73,21.49,70.62,29.73,10.63,17.32,15.21,4.07,15.72,16.86,4.81
Infection plant,95.59,34.99,198.94,10.94,69.14,21.51,10.95,44.24,13.15,371.28,45.85,21.38,36.18,26.19,5.39,11.39,18.39,89.42,86.02,10.95,1.28
Infection plant,37.47,25.94,92.16,36.06,24.32,17.93,17.83,32.77,8.06,192.59,12.45,23.02,17.93,29,3.4,12.69,8.8,8.89,57.35,11.01,16.75
Infection plant,72.4,18.44,145.6,39.73,63.26,21.53,13.66,52.56,8.92,190.47,20.67,7.15,45.99,24.56,10.37,21.6,15.07,8.38,54.06,7.12,15.05
Infection plant,54.05,12.22,208.68,43.74,59.07,65.92,15.6,50.93,25.31,408.52,17.37,23.2,84.74,25.51,10.02,13.49,16.09,55.82,55.12,17.8,10.83
Infection plant,33.41,20.7,186.82,88.39,49.71,55.17,17.68,28.06,27.74,324.12,18.02,10.9,38.87,29.71,14.17,18.65,6.64,1.36,59.95,18.77,5.97
Infection plant,84.54,23.39,124.6,12.21,92,76.2,3.17,34.2,12.16,200.56,24.66,8.44,66,18.38,11.38,12.31,7.77,55.93,54.54,20.33,9.35
Infection plant,50.91,29.94,212.89,28.34,47.53,68.94,12.41,23.67,26.18,203.67,49.47,21.37,85.71,20.33,10.21,19.17,13.25,59.28,74.14,21.47,10.29
Infection plant,33.87,15.51,99.94,45.22,26.18,22.21,17.18,16.93,19.32,112.17,29.71,23.99,48.12,11.38,15.5,11.59,2.25,63.78,15.8,8.41,13.61
Infection plant,74.9,39.62,136.15,79,77.46,93.04,18.2,19.18,27.13,275,11.07,7.24,27.23,10.21,10.11,27.3,12.32,74.63,98.42,17.67,6.15
Infection plant,31.96,14.15,202.47,75.2,39.88,20.23,22.19,43.84,16.39,182.14,12.7,16.23,35.63,15.5,8.02,30.13,1.23,58.26,37.88,21.66,15.23
Infection plant,64.82,40.51,102,29.44,71.29,17.98,10.94,14.41,21.68,312.49,35.58,24.26,57.42,11.09,4.27,26.17,14.02,3.67,48.51,4.34,16.22
Infection plant,38.69,34.5,82.74,19.11,24.1,94.31,10.34,58.67,17.46,183.77,30.36,7.82,93.76,27.95,3.86,12.61,3.78,7.32,87.3,14.99,8.7
Infection plant,36.46,12.93,176.14,84.18,47.64,92.05,14.54,39.15,11.86,144.82,14.09,26.9,27.58,28.27,7.59,29.06,15.05,35,52.38,12.1,12.5
Infection plant,63.96,16.65,138.16,73.47,24.64,79.7,13.5,15.48,27.32,254.87,47.09,21.56,85.2,23.52,6.49,15.23,11.27,70.98,54.79,12.89,19.91
Infection plant,39.8,15.98,109.06,52.88,74.66,16.49,4,18.75,24.86,111.29,9.91,15.09,83.4,23.34,3.45,12.72,1.8,23,54.43,22.52,1.13
Infection plant,91.64,18.58,140.02,44.06,87.38,66.29,10.19,16.66,24.39,199.68,50.29,7.03,41.92,18.53,6.83,28.94,1.96,72.28,46.38,19.81,4.79
Infection plant,38.9,31.76,152.45,74.81,63.41,74.81,17.3,21.82,20.57,131.65,43.95,26.8,87.01,15.32,7.89,16.66,6.69,10.02,13.95,10.71,1.71
Infection plant,38.94,15.33,130.88,29.57,49.06,78.84,3.43,34.08,21.51,249.17,33.87,20.14,97.52,16.46,18.53,13.94,12.19,16.86,91.13,17.1,7.38
Infection plant,59.23,28.81,157.64,21.05,30.85,96.99,8.34,24.49,27.34,165.72,47.96,14.91,24.56,19.19,15.32,27.51,4.22,4.64,14.28,15.46,15.11
Infection plant,49.39,36.98,212.2,57.15,71.26,57.15,22.76,33.72,25.76,153.59,10.59,8.17,10.25,20.55,1.36,23.6,16.08,4.76,13.27,8.05,12.25
Infection plant,39.79,29.37,134.01,36.47,72.61,21.22,4.37,21.98,11.73,293,40.89,18.36,40.2,15.71,12.2,28.25,5.6,3.47,66.89,4.33,2.14
Infection plant,32.97,34.25,96.1,64.15,48.61,89.85,19.69,39.87,23.83,183.37,10.97,26.23,17.07,18.21,2.17,23.51,19.99,82.72,13.06,10.98,7.44
Infection plant,65.8,12.1,232.09,31.64,49.95,64.15,7.99,23.95,9.03,234.9,13.15,11.52,70,29.36,5.69,12.59,11.05,68.47,12.76,6.4,8.53
Infection plant,30.19,16.46,135,69.53,37.39,68.89,4.36,29.16,24.15,143.17,30.13,9.77,47.79,12.4,8.99,16.61,1.57,6.38,11.52,17.43,20.24
Infection plant,70.31,20,137.71,75.04,25.71,74.83,20.31,31.78,23.06,252.65,8.68,16.56,15.57,29.42,12.4,24.9,20.47,54.25,54.13,17.94,16.27
Infection plant,73,18.89,153.7,77.97,82.24,78.6,6.68,51.15,14.18,335.12,18.87,11.97,31.65,10.9,10.9,25.46,19.65,9.35,10.02,6.61,16.2
Infection plant,35.83,16.24,216.38,68.89,37.53,62.56,22.81,46.53,19.1,134.25,13.14,17.72,55.02,26.93,13.27,23.11,9.84,56.25,15.35,14.8,19.8
Infection plant,107,14.61,200.15,18.05,56.34,69.53,19,29.22,21.06,121.53,16.25,23.06,18.11,26.25,19.2,16.15,2.26,85,53.91,11.84,19.72
Infection plant,85.47,36.74,167.16,78.6,73.59,75.04,6.77,28.87,18.88,147.41,13.5,9.48,45.13,13.27,2.72,20.71,1.1,85.84,79.35,22.6,11.15
Infection plant,38.3,17.63,98.68,52.56,84.72,20.11,15.45,39.7,11.95,196.51,15.66,17.04,75.18,19.2,18.64,16.7,10.58,35.88,65,22.16,5.72
Infection plant,32.49,35.72,137.04,37.01,56.18,52.56,15.37,22.19,15.88,312,12.23,18.29,38.3,21.42,2.74,23.57,13.61,34.9,65.36,17.66,2.74
Infection plant,33.07,32.07,127.6,88.08,37.34,18.33,22.69,44.42,12.05,187,31.56,20.67,53.99,18.64,17.7,11.76,17.15,8.87,96,20.27,11.34
Infection plant,50.36,15.54,113.99,72.5,94.51,19.46,4.94,38.89,10.23,338.3,48.53,18.85,20.04,12.76,9.48,22.31,2.28,18.88,10.65,18.3,13.76
Infection plant,37.38,15.1,205.93,17.58,47.99,67.85,15.14,22.18,27,152,14.92,24.1,68.76,16.98,8.04,11.44,13.67,99.53,36.62,17.56,2.08
Infection plant,35.57,24.97,94.24,20.92,28.05,18.94,21.16,51.31,8.2,352.93,14.07,22.77,85,24.51,1.8,17.24,15.79,67.33,12.44,5.16,20.99
Infection plant,61.45,21.69,157.05,27.44,55.83,22.95,19.02,18.9,26.79,367.18,12.32,26.32,28.24,21.27,1.16,17,20.35,55.29,54,8.62,9.58
Infection plant,50.03,12.2,163.21,60.89,39.16,88.08,21.24,17.08,19.57,191.92,8.53,22.27,37.47,20.24,19.63,23.19,19.21,4.01,11.97,16,9.47
Infection plant,31.89,17.78,129,45.71,32.02,72.5,20.79,38.38,18.48,238,11.39,15.54,95.29,23.03,4.25,28.98,20.78,5.42,18.78,8.8,9.57
Infection plant,36.7,34.07,130.64,49.71,69.06,82.99,19.58,23.94,12.13,235,13.35,17.87,47.58,16.97,18.13,12.87,12.4,60.39,12.08,8.38,17.1
Infection plant,60.41,13.61,131,63.89,35.03,96.92,19.41,51.95,13.28,136.18,18.16,26.47,74.75,25.76,15.92,12.88,17.07,2.45,78.73,15.14,19.01
Infection plant,32.98,18.46,128.25,35.77,30.19,78,10.06,18.08,19.27,336.26,9.66,25.06,29.78,15.92,14.55,26.48,16.78,1.37,55.05,11.58,10.39
Infection plant,36.04,30.39,200.54,62.29,32.01,60.89,18.25,45.22,17.12,142.93,22.83,22.04,60.03,28.62,10.4,27.86,1.84,91.87,55.03,5.96,13.09
Infection plant,36.64,23.83,147.8,75.18,30.17,19.96,5.78,51.17,15.22,205.36,10.46,7.87,20.6,14.55,12.63,27.98,8.21,27.49,41.57,22.94,12.76
